"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdminCargarUsuarioController.php", "PHP", 0, 32, 0, 0, 0, 10, 42
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\UsuarioController.php", "PHP", 0, 81, 0, 0, 4, 24, 109
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\equipoController.php", "PHP", 0, 20, 0, 0, 0, 13, 33
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\logoutController.php", "PHP", 0, 15, 0, 0, 2, 5, 22
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\partidosController.php", "PHP", 0, 35, 0, 0, 0, 26, 61
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\profileController.php", "PHP", 0, 58, 0, 0, 1, 21, 80
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\sessionController.php", "PHP", 0, 25, 0, 0, 2, 10, 37
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\torneoController.php", "PHP", 0, 35, 0, 0, 0, 20, 55
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdminCargarUsuario.php", "PHP", 0, 15, 0, 0, 0, 7, 22
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Equipo.php", "PHP", 0, 106, 0, 0, 0, 34, 140
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Partidos.php", "PHP", 0, 39, 0, 0, 0, 21, 60
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Torneo.php", "PHP", 0, 48, 0, 0, 0, 23, 71
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Usuario.php", "PHP", 0, 137, 0, 0, 0, 23, 160
"c:\xampp\htdocs\S.I.G.D\Backend\App\Utils\util.php", "PHP", 0, 10, 0, 0, 0, 1, 11
"c:\xampp\htdocs\S.I.G.D\Backend\config\Conexion.php", "PHP", 0, 19, 0, 0, 3, 5, 27
"c:\xampp\htdocs\S.I.G.D\Backend\index.php", "PHP", 0, 10, 0, 0, 0, 6, 16
"c:\xampp\htdocs\S.I.G.D\Frontend\css\arcanet\arcanet.css", "CSS", 0, 0, 0, 90, 0, 7, 97
"c:\xampp\htdocs\S.I.G.D\Frontend\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 6, 0, 7
"c:\xampp\htdocs\S.I.G.D\Frontend\css\index\index.css", "CSS", 0, 0, 0, 411, 1, 54, 466
"c:\xampp\htdocs\S.I.G.D\Frontend\css\información\deportes.css", "CSS", 0, 0, 0, 305, 1, 58, 364
"c:\xampp\htdocs\S.I.G.D\Frontend\css\roles\funcionalidades.css", "CSS", 0, 0, 0, 585, 1, 72, 658
"c:\xampp\htdocs\S.I.G.D\Frontend\css\roles\roles.css", "CSS", 0, 0, 0, 286, 0, 33, 319
"c:\xampp\htdocs\S.I.G.D\Frontend\html\arcanet\arcanet.html", "HTML", 60, 0, 0, 0, 0, 43, 103
"c:\xampp\htdocs\S.I.G.D\Frontend\html\arcanet\ayuda_soporte.html", "HTML", 63, 0, 0, 0, 0, 28, 91
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\contraseña.html", "HTML", 69, 0, 0, 0, 4, 34, 107
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\basquetbol.html", "HTML", 178, 0, 0, 0, 6, 82, 266
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\futbol.html", "HTML", 201, 0, 0, 0, 5, 96, 302
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\handbol.html", "HTML", 185, 0, 0, 0, 6, 86, 277
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\egresados.html", "HTML", 158, 0, 0, 0, 6, 76, 240
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\historia.html", "HTML", 162, 0, 0, 0, 6, 70, 238
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\objetivo.html", "HTML", 152, 0, 0, 0, 6, 67, 225
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sigd\historia.html", "HTML", 157, 0, 0, 0, 6, 49, 212
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sigd\objetivos.html", "HTML", 151, 0, 0, 0, 6, 65, 222
"c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sugerencias\sugerencia.html", "HTML", 160, 0, 0, 0, 6, 47, 213
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\Perfil.html", "HTML", 214, 0, 0, 0, 4, 51, 269
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\administrador.html", "HTML", 119, 0, 0, 0, 4, 44, 167
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_campeonato.html", "HTML", 285, 0, 0, 0, 4, 60, 349
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_estadisticas.html", "HTML", 227, 0, 0, 0, 4, 57, 288
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_partido.html", "HTML", 186, 0, 0, 0, 4, 67, 257
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_usuarios.html", "HTML", 194, 0, 0, 0, 5, 52, 251
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\crear_equipo.html", "HTML", 175, 0, 0, 0, 4, 42, 221
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\eliminar_usuario.html", "HTML", 175, 0, 0, 0, 4, 42, 221
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\equipo.html", "HTML", 313, 0, 0, 0, 12, 68, 393
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticajugador.html", "HTML", 206, 0, 0, 0, 4, 62, 272
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticas.html", "HTML", 217, 0, 0, 0, 4, 60, 281
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticas_personales.html", "HTML", 154, 0, 0, 0, 4, 47, 205
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\graficacomparativa.html", "HTML", 206, 0, 0, 0, 4, 58, 268
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\modificaciones.html", "HTML", 185, 0, 0, 0, 5, 40, 230
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\modificar_usuario.html", "HTML", 236, 0, 0, 0, 4, 56, 296
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\partidos.html", "HTML", 303, 0, 0, 0, 4, 50, 357
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\torneo.html", "HTML", 428, 0, 0, 0, 8, 201, 637
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\usuarios_cargados.html", "HTML", 154, 0, 0, 0, 4, 39, 197
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\validar_sancion.html", "HTML", 178, 0, 0, 0, 3, 46, 227
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\ver_equipo.html", "HTML", 413, 0, 0, 0, 4, 61, 478
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\administrativo.html", "HTML", 87, 0, 0, 0, 4, 43, 134
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\cargar_usuarios.html", "HTML", 148, 0, 0, 0, 4, 60, 212
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\estadisticas.html", "HTML", 184, 0, 0, 0, 4, 66, 254
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\partidos.html", "HTML", 270, 0, 0, 0, 4, 54, 328
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\perfil.html", "HTML", 177, 0, 0, 0, 5, 53, 235
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\torneo.html", "HTML", 395, 0, 0, 0, 8, 203, 606
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\usuarios_cargados.html", "HTML", 133, 0, 0, 0, 4, 44, 181
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\Perfil.html", "HTML", 180, 0, 0, 0, 4, 46, 230
