"filename", "language", "Markdown", "PHP", "JSON", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\details.md", "Markdown", 129, 0, 0, 0, 0, 0, 0, 6, 135
"c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\results.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 7, 53
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdminCargarUsuarioController.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdminEliminarUsuarioController.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 13, 74
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdminModificarUsuarioController.php", "PHP", 0, 71, 0, 0, 0, 0, 0, 23, 94
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdministrativoCargarUsuarioController.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 16, 85
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AnalistaCargarActuacionController.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 12, 93
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AnalistaCargarCampeonatoController.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 19, 56
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AnalistaCargarPartidoController.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 10, 44
"c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\UsuarioController.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdminCargarUsuario.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 24, 98
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdminEliminarUsuario.php", "PHP", 0, 110, 0, 0, 0, 0, 0, 19, 129
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdminModificarUsuario.php", "PHP", 0, 256, 0, 0, 0, 0, 0, 42, 298
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdministrativoCargarUsuario.php", "PHP", 0, 89, 0, 0, 0, 0, 0, 31, 120
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AnalistaCargarActuacion.php", "PHP", 0, 177, 0, 0, 0, 0, 0, 32, 209
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AnalistaCargarCampeonato.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 15, 70
"c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AnalistaCargarPartido.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 17, 74
"c:\xampp\htdocs\S.I.G.D\Frontend\css\roles\funcionalidades.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 5, 49
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_usuarios.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\eliminar_usuario.html", "HTML", 0, 0, 0, 0, -27, 0, 0, -1, -28
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\modificar_usuario.html", "HTML", 0, 0, 0, 0, -2, 0, 1, 5, 4
