Date : 2022-11-08 20:18:55
Directory : c:\xampp\htdocs\S.I.G.D
Total : 143 files,  26841 codes, 517 comments, 7727 blanks, all 35085 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         89 |     20,994 |        476 |      6,302 |     27,772 |
| JavaScript |         15 |      2,031 |         20 |        642 |      2,693 |
| PHP        |         28 |      1,897 |         12 |        528 |      2,437 |
| CSS        |          6 |      1,722 |          9 |        229 |      1,960 |
| Markdown   |          4 |        196 |          0 |         26 |        222 |
| JSON       |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        143 |     26,841 |        517 |      7,727 |     35,085 |
| .VSCodeCounter                                                                              |          5 |        197 |          0 |         26 |        223 |
| .VSCodeCounter\2022-11-06_01-38-33                                                          |          5 |        197 |          0 |         26 |        223 |
| Backend                                                                                     |         28 |      1,897 |         12 |        528 |      2,437 |
| Backend\App                                                                                 |         26 |      1,868 |          9 |        517 |      2,394 |
| Backend\App\Controladores                                                                   |         14 |        695 |          9 |        228 |        932 |
| Backend\App\Modelo                                                                          |         11 |      1,163 |          0 |        288 |      1,451 |
| Backend\App\Utils                                                                           |          1 |         10 |          0 |          1 |         11 |
| Backend\config                                                                              |          1 |         19 |          3 |          5 |         27 |
| Frontend                                                                                    |        110 |     24,747 |        505 |      7,173 |     32,425 |
| Frontend\css                                                                                |          6 |      1,722 |          9 |        229 |      1,960 |
| Frontend\css\arcanet                                                                        |          1 |         90 |          0 |          7 |         97 |
| Frontend\css\index                                                                          |          1 |        411 |          1 |         54 |        466 |
| Frontend\css\información                                                                    |          1 |        305 |          1 |         58 |        364 |
| Frontend\css\roles                                                                          |          2 |        915 |          1 |        110 |      1,026 |
| Frontend\html                                                                               |         88 |     20,756 |        470 |      6,251 |     27,477 |
| Frontend\html\arcanet                                                                       |          2 |        123 |          0 |         71 |        194 |
| Frontend\html\información                                                                   |         10 |      1,573 |         57 |        672 |      2,302 |
| Frontend\html\información\deportes                                                          |          3 |        564 |         17 |        264 |        845 |
| Frontend\html\información\emt_deportes                                                      |          3 |        472 |         18 |        213 |        703 |
| Frontend\html\información\sigd                                                              |          2 |        308 |         12 |        114 |        434 |
| Frontend\html\información\sugerencias                                                       |          1 |        160 |          6 |         47 |        213 |
| Frontend\html\roles                                                                         |         76 |     19,060 |        413 |      5,508 |     24,981 |
| Frontend\html\roles\administrador                                                           |         20 |      4,540 |         94 |      1,208 |      5,842 |
| Frontend\html\roles\administrativo                                                          |          7 |      1,408 |         34 |        517 |      1,959 |
| Frontend\html\roles\analista                                                                |         10 |      2,128 |         44 |        654 |      2,826 |
| Frontend\html\roles\deportista                                                              |          9 |      2,631 |         54 |        658 |      3,343 |
| Frontend\html\roles\entrenador                                                              |          8 |      1,883 |         38 |        621 |      2,542 |
| Frontend\html\roles\juez                                                                    |          8 |      1,760 |         43 |        576 |      2,379 |
| Frontend\html\roles\scout                                                                   |          7 |      2,396 |         51 |        629 |      3,076 |
| Frontend\html\roles\usuario                                                                 |          7 |      2,314 |         55 |        645 |      3,014 |
| Frontend\js                                                                                 |         15 |      2,031 |         20 |        642 |      2,693 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                    | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\details.md                       | Markdown   |        129 |          0 |          6 |        135 |
| c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\diff-details.md                  | Markdown   |          9 |          0 |          6 |         15 |
| c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\diff.md                          | Markdown   |         12 |          0 |          7 |         19 |
| c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\results.json                     | JSON       |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\S.I.G.D\.VSCodeCounter\2022-11-06_01-38-33\results.md                       | Markdown   |         46 |          0 |          7 |         53 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdminCargarUsuarioController.php          | PHP        |         69 |          0 |         16 |         85 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdminEliminarUsuarioController.php        | PHP        |         61 |          0 |         13 |         74 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdminModificarUsuarioController.php       | PHP        |         71 |          0 |         23 |         94 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdministrativoCargarUsuarioController.php | PHP        |         69 |          0 |         16 |         85 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AnalistaCargarActuacionController.php     | PHP        |         81 |          0 |         12 |         93 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AnalistaCargarCampeonatoController.php    | PHP        |         37 |          0 |         19 |         56 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AnalistaCargarPartidoController.php       | PHP        |         34 |          0 |         10 |         44 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\UsuarioController.php                     | PHP        |         85 |          4 |         24 |        113 |
